Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SOL ACRES,"1,010,000",925.7,"1,091",Oct-22,CHOA CHU KANG GROVE,Resale,Strata,86,"11,744",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,06 to 10
BLOSSOM RESIDENCES,"1,230,000","1,054.87","1,166",Oct-22,SEGAR ROAD,Resale,Strata,98,"12,551",-,Executive Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
BELLEWATERS,"1,330,000","1,065.64","1,248",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,99,"13,434",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
THE TERRACE,"1,288,000","1,001.05","1,287",Oct-22,EDGEDALE PLAINS,Resale,Strata,93,"13,849",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,16 to 20
SIGNATURE AT YISHUN,"1,065,000",947.23,"1,124",Oct-22,YISHUN STREET 51,Resale,Strata,88,"12,102",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
ECOPOLITAN,"1,420,000","1,194.8","1,188",Oct-22,PUNGGOL WALK,Resale,Strata,111,"12,793",-,Executive Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
BISHAN LOFT,"1,900,000","1,377.79","1,379",Oct-22,BISHAN STREET 11,Resale,Strata,128,"14,844",-,Executive Condominium,1,99 yrs lease commencing from 2000,20,Rest of Central Region,11 to 15
THE AMORE,"1,200,000",990.29,"1,212",Oct-22,EDGEDALE PLAINS,Resale,Strata,92,"13,043",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,16 to 20
ESPARINA RESIDENCES,"1,150,000",882.65,"1,303",Oct-22,COMPASSVALE BOW,Resale,Strata,82,"14,024",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,16 to 20
LUSH ACRES,"1,640,000","1,345.5","1,219",Oct-22,FERNVALE CLOSE,Resale,Strata,125,"13,120",-,Executive Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
THE VALES,"2,100,000","1,657.66","1,267",Oct-22,ANCHORVALE CRESCENT,Resale,Strata,154,"13,636",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
WATERCOLOURS,"930,000",914.94,"1,016",Oct-22,PASIR RIS LINK,Resale,Strata,85,"10,941",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
WHITEWATER,"1,080,000","1,194.8",904,Oct-22,PASIR RIS STREET 72,Resale,Strata,111,"9,730",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,11 to 15
SEA HORIZON,"1,450,000","1,334.74","1,086",Oct-22,PASIR RIS RISE,Resale,Strata,124,"11,694",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
SIGNATURE AT YISHUN,"1,250,000","1,097.93","1,139",Oct-22,YISHUN STREET 51,Resale,Strata,102,"12,255",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
THE AMORE,"1,208,000",990.29,"1,220",Oct-22,EDGEDALE PLAINS,Resale,Strata,92,"13,130",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
THE TERRACE,"1,280,000","1,076.4","1,189",Sep-22,EDGEDALE PLAINS,Resale,Strata,100,"12,800",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
